Prac	ItemNr	Item	ItemFreq
no	1	bucket	10.02
no	2	branch	10.08
no	3	sunset	10.31
no	4	barrel	10.63
no	5	wizard	10.63
no	6	banana	10.73
no	7	potato	11.29
no	8	pillow	11.39
no	9	carpet	11.65
no	10	picnic	11.69
no	11	farmer	11.84
no	12	rocket	11.84
no	13	tattoo	11.96
no	14	sailor	12.39
no	15	hammer	12.47
no	16	string	12.67
no	17	cattle	13.22
no	18	muscle	13.61
no	19	guitar	15.59
no	20	museum	18.47
no	21	forest	18.88
no	22	butter	20.43
no	23	rabbit	20.94
no	24	castle	21.55
yes	25	worker	10.94
yes	26	peanut	12.35
yes	27	stable	13.2
yes	28	circus	17.06