ItemNr	Item	ItemDiff	List
1	rund - boll	1	A
2	snö - vit	1	A
3	simma - vatten	1	A
4	barn - liten	1	A
5	gul - sol	1	A
6	kulle - berg	1	A
7	kung - monarki	1	A
8	råtta - mus	1	A
9	affär - mjölk	2	A
10	blå - jeans	2	A
11	fläta - korg	2	A
12	öken - svett	2	A
13	hoppas - drömma	2	A
14	kall - drink	2	A
15	flaggstång - svaja	2	A
16	bord - furu	2	A
17	fjäril - tumme	3	A
18	flicka - fiske	3	A
19	himmel - sova	3	A
20	huvud - kaka	3	A
21	äng - ansikte	3	A
22	jobba - glob	3	A
23	glömska - bänk	3	A
24	mat - lila	3	A
25	present - gåva	1	A
26	arm - ben	1	A
27	sten - hård	1	A
28	mun - läppar	1	A
29	mjuk - skön	1	A
30	vass - kniv	1	A
31	duk - rutig	1	A
32	ull - får	1	A
33	arbeta - myra	2	A
34	vilja - lust	2	A
35	folk - myller	2	A
36	vissla - fabrik	2	A
37	hav - salt	2	A
38	krona - guld	2	A
39	gräsmatta - krocket	2	A
40	ost - bröd	2	A
41	fladdra - polis	3	A
42	torr - måne	3	A
43	fyrkant - mössa	3	A
44	ögon - band	3	A
45	bil - själ	3	A
46	kål - bagge	3	A
47	stearin - larv	3	A
48	man - sallad	3	A